Accession,Description,Sum(Coverage),Sum(# Proteins),Sum(# Unique Peptides),Sum(# Peptides),Sum(# PSMs),# AAs,MW [kDa],calc. pI
B1ATI9,Growth arrest-specific protein 7 OS=Mus musculus GN=Gas7 PE=4 SV=1 - [B1ATI9_MOUSE],53.64%,4,22,25,110,412,47.2,7.59
D3Z6H3,"Dynactin 6, isoform CRA_b OS=Mus musculus GN=Dctn6 PE=4 SV=1 - [D3Z6H3_MOUSE]",35.68%,5,7,7,43,185,20,6.38
G3X9H7,"Metastasis suppressor 1, isoform CRA_e OS=Mus musculus GN=Mtss1 PE=1 SV=1 - [G3X9H7_MOUSE]",51.91%,5,29,31,205,759,82.4,6.92
Q3TDT0,Tripartite motif-containing protein 3 OS=Mus musculus GN=Trim3 PE=1 SV=1 - [Q3TDT0_MOUSE],47.14%,11,24,24,68,717,78.2,8.16
Q8BY78,Eyes absent 4 homolog (Drosophila) OS=Mus musculus GN=Eya4 PE=2 SV=1 - [Q8BY78_MOUSE],7.14%,5,4,4,10,616,66.9,5.25
E9Q2D0,WAS/WASL-interacting protein family member 3 OS=Mus musculus GN=Wipf3 PE=4 SV=1 - [E9Q2D0_MOUSE],52.80%,3,20,20,160,483,49.2,10.18
G5E896,"Enhancer of mRNA decapping 4, isoform CRA_b OS=Mus musculus GN=Edc4 PE=1 SV=1 - [G5E896_MOUSE]",37.91%,5,35,35,108,1406,152.4,5.82
Q8R3W2,"MCG6979, isoform CRA_a OS=Mus musculus GN=0610009B22Rik PE=2 SV=1 - [Q8R3W2_MOUSE]",25.71%,1,1,5,5,140,16.4,6.61
Q8R3C7,DEAD (Asp-Glu-Ala-Asp) box polypeptide 19b OS=Mus musculus GN=Ddx19b PE=2 SV=1 - [Q8R3C7_MOUSE],56.37%,2,2,26,133,479,53.9,6.3
Q3UXG7,GDP-fucose protein O-fucosyltransferase 1 OS=Mus musculus GN=Pofut1 PE=2 SV=1 - [Q3UXG7_MOUSE],53.26%,5,12,12,41,353,40,8.48
Q923A8,Map3k7 protein OS=Mus musculus GN=Map3k7 PE=1 SV=1 - [Q923A8_MOUSE],22.44%,4,11,11,28,606,67.2,7.11
Q8C2Q8,ATP synthase subunit gamma OS=Mus musculus GN=Atp5c1 PE=1 SV=1 - [Q8C2Q8_MOUSE],67.52%,6,6,21,217,274,30.2,8.84
Q3TWV4,AP-2 complex subunit mu OS=Mus musculus GN=Ap2m1 PE=2 SV=1 - [Q3TWV4_MOUSE],70.67%,1,1,34,386,433,49.4,9.54
A2RTH5,Leucine carboxyl methyltransferase 1 OS=Mus musculus GN=Lcmt1 PE=2 SV=1 - [A2RTH5_MOUSE],33.13%,1,12,12,35,332,38.2,5.62
Q9D1X8,Tetraspanin OS=Mus musculus GN=Tspan2 PE=2 SV=1 - [Q9D1X8_MOUSE],19.35%,2,5,5,41,217,23.4,8
Q9ER67,Maged2 protein OS=Mus musculus GN=Maged2 PE=2 SV=1 - [Q9ER67_MOUSE],33.12%,10,17,18,27,616,65.4,9.14
A2AT37,Protein Upf2 OS=Mus musculus GN=Upf2 PE=2 SV=1 - [A2AT37_MOUSE],20.80%,2,21,21,43,1269,147.5,5.64
B7ZNL3,Tpm1 protein OS=Mus musculus GN=Tpm1 PE=2 SV=1 - [B7ZNL3_MOUSE],90.14%,1,0,54,429,284,32.6,4.74
Q921L6,"Cortactin, isoform CRA_a OS=Mus musculus GN=Cttn PE=1 SV=1 - [Q921L6_MOUSE]",62.28%,1,1,55,579,509,57.1,5.33
Q3V1N5,Protein Heca OS=Mus musculus GN=Heca PE=2 SV=1 - [Q3V1N5_MOUSE],9.19%,1,4,4,5,544,59.1,8.6
Q3V4D5,"N-acetyltransferase ARD1 homolog (S. cerevisiae), isoform CRA_b OS=Mus musculus GN=Naa10 PE=2 SV=1 - [Q3V4D5_MOUSE]",44.89%,3,1,10,34,225,24.8,6.61
G3X928,SEC23-interacting protein OS=Mus musculus GN=Sec23ip PE=4 SV=1 - [G3X928_MOUSE],38.98%,2,39,41,142,998,110.7,5.72
Q8K1M3,"Protein kinase, cAMP dependent regulatory, type II alpha OS=Mus musculus GN=Prkar2a PE=1 SV=1 - [Q8K1M3_MOUSE]",73.38%,4,31,31,403,402,45.6,4.93
J3QNG0,MCG15755 OS=Mus musculus GN=Gm5424 PE=3 SV=1 - [J3QNG0_MOUSE],6.07%,2,2,2,3,412,46.6,8.22
G3XA17,Eukaryotic translation initiation factor 4 gamma 2 OS=Mus musculus GN=Eif4g2 PE=1 SV=1 - [G3XA17_MOUSE],55.52%,8,50,50,242,906,102,7.14
Q99L20,Glutathione S-transferase theta 3 OS=Mus musculus GN=Gstt3 PE=2 SV=1 - [Q99L20_MOUSE],63.90%,7,16,18,74,241,27.4,7.74
Q8BTZ9,"28S ribosomal protein S18c, mitochondrial OS=Mus musculus GN=Mrps18c PE=2 SV=1 - [Q8BTZ9_MOUSE]",6.25%,2,1,1,2,128,14.3,9.25
G3UW94,"MCG14259, isoform CRA_b OS=Mus musculus GN=U2af1 PE=4 SV=1 - [G3UW94_MOUSE]",38.49%,4,6,9,59,239,27.8,8.68
A2A7S7,Tyrosine--tRNA ligase OS=Mus musculus GN=Yars PE=3 SV=1 - [A2A7S7_MOUSE],71.45%,3,46,48,248,564,63,8.44
Q8CEC2,Aryl hydrocarbon receptor nuclear translocator OS=Mus musculus GN=Arnt PE=2 SV=1 - [Q8CEC2_MOUSE],9.47%,4,5,6,10,760,83.5,6.73
Q3TYE5,Limbic system-associated membrane protein OS=Mus musculus GN=Lsamp PE=1 SV=1 - [Q3TYE5_MOUSE],3.55%,5,1,2,2,338,37.3,6.68
Q3TET1,Kinesin-like protein OS=Mus musculus GN=Kif3a PE=1 SV=1 - [Q3TET1_MOUSE],38.90%,7,21,25,56,694,79.4,6.25
B9EJ80,PDZ domain containing 8 OS=Mus musculus GN=Pdzd8 PE=1 SV=1 - [B9EJ80_MOUSE],13.08%,1,10,11,25,1147,127.7,6.04
D3Z7X0,MCG142036 OS=Mus musculus GN=Acad12 PE=1 SV=1 - [D3Z7X0_MOUSE],17.30%,3,1,8,12,555,61.4,9.36
O08804,NK13 OS=Mus musculus GN=Serpinb6b PE=2 SV=2 - [O08804_MOUSE],71.09%,2,29,30,241,377,42.5,5.26
Q543M9,"MCG14605, isoform CRA_c OS=Mus musculus GN=Trp53rk PE=2 SV=1 - [Q543M9_MOUSE]",28.69%,3,1,5,19,244,27.4,9.23
G3X8W7,"CDC23 (Cell division cycle 23, yeast, homolog), isoform CRA_a OS=Mus musculus GN=Cdc23 PE=4 SV=1 - [G3X8W7_MOUSE]",50.09%,1,1,27,106,571,65.8,6.83
Q6IQX8,Protein Zfp219 OS=Mus musculus GN=Zfp219 PE=2 SV=1 - [Q6IQX8_MOUSE],6.89%,1,2,2,2,726,77.7,9.17
Q8BIQ6,MCG23335 OS=Mus musculus GN=Zfp947 PE=2 SV=1 - [Q8BIQ6_MOUSE],10.76%,86,1,3,19,437,51.4,8.87
G5E8C2,MCG9018 OS=Mus musculus GN=Kbtbd7 PE=4 SV=1 - [G5E8C2_MOUSE],6.67%,2,3,3,4,690,77.6,6.01
Q6NZR5,Protein Skiv2l OS=Mus musculus GN=Skiv2l PE=1 SV=1 - [Q6NZR5_MOUSE],33.44%,2,27,29,80,1244,137.4,6.28
Q6P6P5,Protein Gm21985 OS=Mus musculus GN=Slc12a6 PE=2 SV=1 - [Q6P6P5_MOUSE],10.04%,5,4,12,48,1106,122.6,7.49
Q3TAY5,Forkhead box protein J3 OS=Mus musculus GN=Foxj3 PE=2 SV=1 - [Q3TAY5_MOUSE],14.19%,12,1,2,7,155,17.4,8.79
Q99N19,Cytochrome P450 CYP4F13 OS=Mus musculus GN=Cyp4f13 PE=2 SV=1 - [Q99N19_MOUSE],6.12%,1,2,2,3,523,59.8,7.69
B8JJC1,Tyrosyl-DNA phosphodiesterase 1 OS=Mus musculus GN=Tdp1 PE=4 SV=1 - [B8JJC1_MOUSE],12.64%,2,6,6,8,609,68.5,7.64
Q3TMP1,"General transcription factor IIIC, polypeptide 3 OS=Mus musculus GN=Gtf3c3 PE=1 SV=1 - [Q3TMP1_MOUSE]",28.00%,1,18,18,41,882,100.6,5.15
G3X8X7,Vacuolar protein sorting 16 (Yeast) OS=Mus musculus GN=Vps16 PE=1 SV=1 - [G3X8X7_MOUSE],31.70%,3,22,22,71,839,94.8,6.92
Q8CGV4,MCG140848 OS=Mus musculus GN=Rdh1 PE=2 SV=1 - [Q8CGV4_MOUSE],66.56%,5,10,24,165,317,35.9,9.1
G3UW89,Zinc finger protein 423 OS=Mus musculus GN=Zfp423 PE=4 SV=1 - [G3UW89_MOUSE],5.74%,4,5,6,8,1167,131.5,7.42
G3X9N6,Oxysterol-binding protein OS=Mus musculus GN=Osbpl8 PE=1 SV=1 - [G3X9N6_MOUSE],31.29%,2,17,20,61,847,96.9,7.55
Q3ULC4,"Predicted gene, OTTMUSG00000010432 OS=Mus musculus GN=Gm13102 PE=2 SV=1 - [Q3ULC4_MOUSE]",2.60%,5,1,2,22,500,57.9,8.53
Q5D0E0,Ikbkb protein OS=Mus musculus GN=Ikbkb PE=2 SV=1 - [Q5D0E0_MOUSE],44.39%,5,27,28,103,757,86.7,6.04
G5E8K8,"MCG17833, isoform CRA_c OS=Mus musculus GN=Ahnak PE=1 SV=1 - [G5E8K8_MOUSE]",63.33%,1,1,5,33,150,16.2,5.15
Q6GT24,Peroxiredoxin 6 OS=Mus musculus GN=Prdx6 PE=1 SV=1 - [Q6GT24_MOUSE],80.80%,4,28,28,517,224,24.8,6.37
Q3TSS7,Squalene monooxygenase OS=Mus musculus GN=Sqle PE=2 SV=1 - [Q3TSS7_MOUSE],1.11%,2,1,1,2,540,60.1,8.24
B2RUJ2,Erbb2ip protein OS=Mus musculus GN=Erbb2ip PE=1 SV=1 - [B2RUJ2_MOUSE],34.70%,3,36,36,153,1294,145,5.41
G3X920,"Armadillo repeat containing 8, isoform CRA_b OS=Mus musculus GN=Armc8 PE=4 SV=1 - [G3X920_MOUSE]",25.71%,2,18,18,48,673,75.4,6.73
Q0VBD0,Integrin beta OS=Mus musculus GN=Itgb8 PE=2 SV=1 - [Q0VBD0_MOUSE],8.08%,1,5,6,12,767,84.5,7.09
Q5RIM6,"Nuclear receptor co-repressor 1, isoform CRA_a OS=Mus musculus GN=Ncor1 PE=1 SV=1 - [Q5RIM6_MOUSE]",6.03%,14,6,13,19,2454,270.6,6.93
Q9R1R8,Retinol dehydrogenase 11 OS=Mus musculus GN=Rdh11 PE=2 SV=1 - [Q9R1R8_MOUSE],30.00%,2,8,8,29,300,33.2,8.79
B1AZ46,Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Mus musculus GN=Baiap2 PE=1 SV=1 - [B1AZ46_MOUSE],69.67%,2,31,31,93,521,57.6,8.79
B9EKS2,Jumonji domain containing 1B OS=Mus musculus GN=Kdm3b PE=2 SV=1 - [B9EKS2_MOUSE],15.32%,2,20,22,30,1762,191.3,7.23
A2AWT5,Nucleolar transcription factor 1 OS=Mus musculus GN=Ubtf PE=4 SV=1 - [A2AWT5_MOUSE],39.66%,4,1,36,158,764,89.4,5.81
D3YVL0,Putative helicase MOV-10 OS=Mus musculus GN=Mov10 PE=1 SV=1 - [D3YVL0_MOUSE],34.56%,4,28,28,56,1004,113.5,8.98
Q91W01,Phosphomannomutase OS=Mus musculus GN=Pmm1 PE=2 SV=1 - [Q91W01_MOUSE],12.38%,2,1,3,27,202,23.1,5.26
Q9MD68,Cytochrome c oxidase subunit 1 OS=Mus musculus GN=mt-Co1 PE=2 SV=1 - [Q9MD68_MOUSE],11.09%,2,3,3,17,514,56.9,6.7
Q4KL52,Abscission/NoCut checkpoint regulator OS=Mus musculus GN=Zfyve19 PE=1 SV=1 - [Q4KL52_MOUSE],5.15%,2,2,2,9,330,36.3,7.81
G3X9X1,"MCG13111, isoform CRA_a OS=Mus musculus GN=Kbtbd2 PE=4 SV=1 - [G3X9X1_MOUSE]",6.90%,1,3,3,3,623,71.2,5.62
G3X9N1,"Rho GTPase activating protein 24, isoform CRA_b OS=Mus musculus GN=Arhgap24 PE=1 SV=1 - [G3X9N1_MOUSE]",55.29%,4,1,37,359,747,84.1,6.84
G3UWG1,MCG115977 OS=Mus musculus GN=Gm10108 PE=3 SV=1 - [G3UWG1_MOUSE],74.29%,3,16,16,190,105,11.7,9.64
E0CYM8,Tyrosine-protein phosphatase non-receptor type substrate 1 OS=Mus musculus GN=Sirpa PE=1 SV=1 - [E0CYM8_MOUSE],24.95%,4,1,9,37,513,56.4,8.28
G3X934,MCG115964 OS=Mus musculus GN=Wdr70 PE=1 SV=1 - [G3X934_MOUSE],10.50%,2,6,6,12,657,73,6.05
Q7TNL9,Coiled-coil-helix-coiled-coil-helix domain containing 10 OS=Mus musculus GN=Chchd10 PE=2 SV=1 - [Q7TNL9_MOUSE],18.84%,1,2,2,5,138,13.8,8.22
G5E8V9,MCG18094 (Fragment) OS=Mus musculus GN=Arfip1 PE=4 SV=1 - [G5E8V9_MOUSE],73.99%,3,2,23,91,373,41.5,6.76
D3YWC7,"MCG15626, isoform CRA_b OS=Mus musculus GN=Fam47e PE=4 SV=2 - [D3YWC7_MOUSE]",3.98%,1,1,1,1,402,46.4,9.38
Q80ZX0,Protein Sec24b OS=Mus musculus GN=Sec24b PE=1 SV=1 - [Q80ZX0_MOUSE],29.82%,3,27,30,148,1251,135.5,6.96
Q3TFP0,Serine/arginine-rich-splicing factor 10 OS=Mus musculus GN=Srsf10 PE=1 SV=1 - [Q3TFP0_MOUSE],45.60%,3,13,13,60,182,22.1,10.33
Q921W2,Nucleolysin TIAR OS=Mus musculus GN=Tial1 PE=2 SV=1 - [Q921W2_MOUSE],43.20%,9,1,14,57,375,41.5,7.74
G5E832,Adenomatosis polyposis coli 2 OS=Mus musculus GN=Apc2 PE=4 SV=1 - [G5E832_MOUSE],0.79%,8,1,3,18,2274,243,8.88
Q3U821,Protein Wdr75 OS=Mus musculus GN=Wdr75 PE=1 SV=1 - [Q3U821_MOUSE],10.48%,2,8,8,15,830,94,6.18
Q99N15,17beta-hydroxysteroid dehydrogenase type 10/short chain L-3-hydroxyacyl-CoA dehydrogenase OS=Mus musculus GN=Hsd17b10 PE=1 SV=1 - [Q99N15_MOUSE],89.66%,3,20,20,216,261,27.3,8.76
Q9D104,Signal recognition particle 19 kDa protein OS=Mus musculus GN=Srp19 PE=2 SV=1 - [Q9D104_MOUSE],37.50%,4,5,5,18,144,16.1,9.88
A2AJ72,MCG130458 OS=Mus musculus GN=Fubp3 PE=4 SV=1 - [A2AJ72_MOUSE],67.66%,3,1,37,219,569,61.4,8.28
G5E823,"Histidyl-tRNA synthetase-like, isoform CRA_a OS=Mus musculus GN=Hars2 PE=4 SV=1 - [G5E823_MOUSE]",31.60%,5,10,14,60,424,48.2,8.6
O88325,Alpha-N-acetylglucosaminidase OS=Mus musculus GN=Naglu PE=2 SV=1 - [O88325_MOUSE],14.07%,1,7,7,15,739,82.5,6.61
Q0VBL3,Protein Rbm15 OS=Mus musculus GN=Rbm15 PE=1 SV=1 - [Q0VBL3_MOUSE],25.47%,3,18,20,56,962,105.7,10.08
Q9DC47,Protein Zfp869 OS=Mus musculus GN=Zfp869 PE=2 SV=1 - [Q9DC47_MOUSE],17.77%,24,2,5,20,529,61.6,7.52
G5E904,Sulfotransferase OS=Mus musculus GN=Gm4794 PE=3 SV=1 - [G5E904_MOUSE],2.05%,1,1,1,1,293,34.8,7.59
Q8BLK6,Protein Zfp68 OS=Mus musculus GN=Zfp68 PE=2 SV=1 - [Q8BLK6_MOUSE],6.87%,20,1,3,17,568,66.5,8.54
Q8CDM3,X-linked retinitis pigmentosa GTPase regulator OS=Mus musculus GN=Rpgr PE=2 SV=1 - [Q8CDM3_MOUSE],2.47%,6,1,3,5,972,108.4,4.64
Q3TIZ5,Amyloid beta A4 precursor protein-binding family B member 2 OS=Mus musculus GN=Apbb2 PE=2 SV=1 - [Q3TIZ5_MOUSE],34.96%,12,17,19,63,758,82.9,6.14
Q3UXS0,Secretory carrier-associated membrane protein 3 OS=Mus musculus GN=Scamp3 PE=1 SV=1 - [Q3UXS0_MOUSE],34.86%,3,12,12,58,350,38.6,7.64
Q99M46,DNA-directed RNA polymerase II subunit RPB3 OS=Mus musculus GN=Polr2c PE=1 SV=1 - [Q99M46_MOUSE],52.73%,2,11,11,46,275,31.4,4.92
D3Z6F5,ATP synthase subunit alpha OS=Mus musculus GN=Atp5a1 PE=1 SV=1 - [D3Z6F5_MOUSE],80.52%,1,1,52,1061,503,54.6,8.24
Q7M6W1,Reticulon OS=Mus musculus GN=Rtn1 PE=2 SV=1 - [Q7M6W1_MOUSE],7.69%,3,1,2,29,208,23.5,8.91
B1AYU7,Pre-mRNA-splicing factor CWC22 homolog OS=Mus musculus GN=Cwc22 PE=1 SV=1 - [B1AYU7_MOUSE],18.27%,9,15,15,37,903,104.3,8.09
F8VQ05,Protein Fryl OS=Mus musculus GN=Fryl PE=1 SV=1 - [F8VQ05_MOUSE],42.27%,4,105,110,525,3007,337.6,5.63
B2RQG2,PHD finger protein 3 OS=Mus musculus GN=Phf3 PE=1 SV=1 - [B2RQG2_MOUSE],11.80%,1,14,14,20,2025,225.4,6.7
B2RSU6,Cingulin-like 1 OS=Mus musculus GN=Cgnl1 PE=1 SV=1 - [B2RSU6_MOUSE],72.32%,3,108,111,505,1297,148.1,5.77
Q5SUH6,Clathrin interactor 1 OS=Mus musculus GN=Clint1 PE=1 SV=1 - [Q5SUH6_MOUSE],40.41%,1,1,29,165,641,69.7,6.65
A2AWT7,Nucleolar transcription factor 1 OS=Mus musculus GN=Ubtf PE=4 SV=1 - [A2AWT7_MOUSE],41.09%,4,1,37,161,752,88.3,9.89
Q99K73,Nrf1 protein OS=Mus musculus GN=Nrf1 PE=2 SV=1 - [Q99K73_MOUSE],15.73%,7,6,7,22,534,57.2,5.45
B1AW21,Myotubularin OS=Mus musculus GN=Mtm1 PE=4 SV=1 - [B1AW21_MOUSE],42.31%,3,22,23,57,572,65.9,7.77
Q4VA93,Protein kinase C OS=Mus musculus GN=Prkca PE=2 SV=1 - [Q4VA93_MOUSE],39.14%,3,18,26,81,672,76.8,7.05
Q80XN4,Protein Zfp871 OS=Mus musculus GN=Zfp871 PE=2 SV=1 - [Q80XN4_MOUSE],2.85%,12,1,2,12,596,69.3,8.46
Q91ZZ2,Guanine nucleotide exchange factor OS=Mus musculus GN=Rapgef1 PE=1 SV=1 - [Q91ZZ2_MOUSE],17.40%,5,16,16,24,1086,121.8,6.18
A2BDX0,Activity-dependent neuroprotector homeobox protein OS=Mus musculus GN=Adnp PE=1 SV=1 - [A2BDX0_MOUSE],31.59%,2,26,26,65,1108,124.2,6.86
G3X8Q0,Trans-acting transcription factor 1 OS=Mus musculus GN=Sp1 PE=1 SV=1 - [G3X8Q0_MOUSE],9.86%,5,5,5,16,781,80.4,7.34
G3X8U3,MCG6895 OS=Mus musculus GN=2210016F16Rik PE=4 SV=1 - [G3X8U3_MOUSE],59.17%,1,22,22,99,338,38.6,5.64
B2RXW8,Ppfia1 protein OS=Mus musculus GN=Ppfia1 PE=1 SV=1 - [B2RXW8_MOUSE],43.19%,13,26,55,173,1241,140,6.14
Q8CD76,Kinesin light chain 1 OS=Mus musculus GN=Klc1 PE=1 SV=1 - [Q8CD76_MOUSE],63.80%,6,36,50,307,616,69.5,5.96
G5E8T9,Hydroxyacyl glutathione hydrolase OS=Mus musculus GN=Hagh PE=1 SV=1 - [G5E8T9_MOUSE],53.07%,7,16,17,167,309,34.1,7.94
G3X9B1,HEAT repeat containing 1 OS=Mus musculus GN=Heatr1 PE=4 SV=1 - [G3X9B1_MOUSE],9.05%,1,18,21,41,2143,241.9,6.98
G5E8B1,"Protein tyrosine phosphatase, non-receptor type 13 OS=Mus musculus GN=Ptpn13 PE=4 SV=1 - [G5E8B1_MOUSE]",24.97%,2,44,45,82,2451,270.1,6.35
Q05C51,Ribonuclease OS=Mus musculus GN=Rnaseh2a PE=2 SV=1 - [Q05C51_MOUSE],10.24%,3,2,2,4,254,28.1,5.07
Q3URQ4,Protein C78339 OS=Mus musculus GN=C78339 PE=2 SV=1 - [Q3URQ4_MOUSE],8.52%,1,3,3,6,399,42.3,6.71
A2ASW8,"Rap guanine nucleotide exchange factor (GEF) 4, isoform CRA_b OS=Mus musculus GN=Rapgef4 PE=2 SV=1 - [A2ASW8_MOUSE]",3.23%,6,3,4,13,867,99.4,7.2
Q3UE92,"X-prolyl aminopeptidase (Aminopeptidase P) 1, soluble, isoform CRA_b OS=Mus musculus GN=Xpnpep1 PE=2 SV=1 - [Q3UE92_MOUSE]",65.92%,4,38,38,181,666,74.5,5.83
Q3UC82,DNA ligase OS=Mus musculus GN=Lig3 PE=1 SV=1 - [Q3UC82_MOUSE],33.43%,7,25,25,68,1011,112.6,8.98
Q14BI5,Myomesin 2 OS=Mus musculus GN=Myom2 PE=2 SV=1 - [Q14BI5_MOUSE],29.19%,1,33,33,77,1463,164.6,5.77
Q80X68,Citrate synthase OS=Mus musculus GN=Csl PE=1 SV=1 - [Q80X68_MOUSE],23.18%,1,1,9,181,466,52.3,8.79
Q8R298,Protein Vmn1r234 OS=Mus musculus GN=Vmn1r234 PE=2 SV=1 - [Q8R298_MOUSE],2.13%,1,1,1,1,329,37,8.82
F6YRW4,F-box and leucine-rich repeat protein 11 OS=Mus musculus GN=Kdm2a PE=1 SV=2 - [F6YRW4_MOUSE],10.51%,4,7,9,15,1161,132.6,7.52
Q9CZN7,Serine hydroxymethyltransferase OS=Mus musculus GN=Shmt2 PE=1 SV=1 - [Q9CZN7_MOUSE],33.33%,1,12,13,30,504,55.7,8.47
Q3TBU7,Arf-GAP domain and FG repeat-containing protein 2 (Fragment) OS=Mus musculus GN=Agfg2 PE=2 SV=1 - [Q3TBU7_MOUSE],19.70%,3,6,7,24,406,41.7,8.98
Q6Q477,Calcium-transporting ATPase OS=Mus musculus GN=Atp2b4 PE=1 SV=1 - [Q6Q477_MOUSE],14.27%,4,1,19,126,1205,133,6.13
Q3V1N2,Synphilin-1 OS=Mus musculus GN=Sncaip PE=2 SV=1 - [Q3V1N2_MOUSE],14.55%,6,11,11,33,914,99.9,6.35
Q6P6I8,Signal-regulatory protein alpha OS=Mus musculus GN=Sirpa PE=1 SV=1 - [Q6P6I8_MOUSE],24.75%,3,2,10,64,509,56,8.28
Q792Z1,MCG140784 OS=Mus musculus GN=Try10 PE=2 SV=1 - [Q792Z1_MOUSE],8.13%,1,2,2,6,246,26.2,5.83
O35901,G7b alternative form OS=Mus musculus GN=Lsm2 PE=2 SV=1 - [O35901_MOUSE],64.12%,2,1,10,74,131,14.8,7.34
Q5XG67,"Predicted gene, EG382156 OS=Mus musculus GN=Fbxw22 PE=2 SV=1 - [Q5XG67_MOUSE]",4.29%,2,1,1,1,466,54,7.5
Q8C9A6,Ubiquitin carboxyl-terminal hydrolase 20 OS=Mus musculus GN=Usp20 PE=1 SV=1 - [Q8C9A6_MOUSE],13.33%,5,2,2,3,210,22.9,6.81
Q08BU3,OTTMUSG00000016588 protein OS=Mus musculus GN=Gm14420 PE=2 SV=1 - [Q08BU3_MOUSE],21.07%,12,1,3,7,522,59.9,8.88
Q3UW66,Sulfurtransferase OS=Mus musculus GN=Mpst PE=1 SV=1 - [Q3UW66_MOUSE],56.57%,2,14,15,70,297,33.1,6.47
Q5SX75,"Procollagen-proline, 2-oxoglutarate 4-dioxygenase (Proline 4-hydroxylase), alpha II polypeptide, isoform CRA_f OS=Mus musculus GN=P4ha2 PE=1 SV=1 - [Q5SX75_MOUSE]",26.82%,7,11,12,42,537,61,5.9
A6H634,"Gene model 266, (NCBI) OS=Mus musculus GN=Gm266 PE=2 SV=1 - [A6H634_MOUSE]",27.00%,1,5,5,9,200,22.1,7.23
Q8BN51,"Thymidine kinase 2, mitochondrial OS=Mus musculus GN=Tk2 PE=2 SV=1 - [Q8BN51_MOUSE]",15.93%,2,4,4,6,270,31.2,7.21
Q3TE40,Replication protein A 32 kDa subunit OS=Mus musculus GN=Rpa2 PE=2 SV=1 - [Q3TE40_MOUSE],16.30%,3,4,4,18,270,29.4,5.76
F2Z4B3,Cyclin-dependent kinase 2-associated protein 1 OS=Mus musculus GN=Cdk2ap1 PE=4 SV=1 - [F2Z4B3_MOUSE],20.69%,4,2,2,8,87,9.6,9.19
D3Z4E3,"DEAH (Asp-Glu-Ala-His) box polypeptide 32, isoform CRA_b OS=Mus musculus GN=Dhx32 PE=4 SV=1 - [D3Z4E3_MOUSE]",8.02%,2,4,4,5,611,68.8,5.07
Q8C605,6-phosphofructokinase OS=Mus musculus GN=Pfkp PE=1 SV=1 - [Q8C605_MOUSE],47.32%,4,30,34,128,784,85.5,6.89
Q9JKY7,Cytochrome P450 CYP2D22 OS=Mus musculus GN=Cyp2d22 PE=2 SV=1 - [Q9JKY7_MOUSE],27.40%,3,12,12,34,500,56.4,6.98
Q8BLU0,Fibronectin leucine rich transmembrane protein 2 OS=Mus musculus GN=Flrt2 PE=1 SV=1 - [Q8BLU0_MOUSE],7.27%,1,3,3,12,660,73.9,7.91
G5E8L8,Mitogen activated protein kinase kinase kinase 2 OS=Mus musculus GN=Map3k2 PE=1 SV=1 - [G5E8L8_MOUSE],18.74%,2,5,9,22,619,69.6,8.32
Q5SUH7,Clathrin interactor 1 OS=Mus musculus GN=Clint1 PE=1 SV=1 - [Q5SUH7_MOUSE],38.68%,2,1,29,168,623,67.7,6.42
Q8R0J2,Mannose-P-dolichol utilization defect 1 OS=Mus musculus GN=Mpdu1 PE=2 SV=1 - [Q8R0J2_MOUSE],13.77%,6,3,3,18,247,26.4,8.54
D3Z456,"39S ribosomal protein L3, mitochondrial OS=Mus musculus GN=Mrpl3 PE=3 SV=1 - [D3Z456_MOUSE]",17.76%,3,4,4,9,304,34,10.05
B7ZWK0,Nek1 protein OS=Mus musculus GN=Nek1 PE=1 SV=1 - [B7ZWK0_MOUSE],28.35%,3,30,30,86,1231,139.6,5.49
D3Z0M9,"MCG18410, isoform CRA_a OS=Mus musculus GN=Ddx23 PE=3 SV=1 - [D3Z0M9_MOUSE]",46.15%,1,36,36,94,819,95.4,9.58
G3X8R0,"Receptor accessory protein 5, isoform CRA_a OS=Mus musculus GN=Reep5 PE=4 SV=1 - [G3X8R0_MOUSE]",30.16%,2,14,14,102,189,21.4,8.12
Q8BH78,Reticulon OS=Mus musculus GN=Rtn4 PE=1 SV=1 - [Q8BH78_MOUSE],60.11%,2,1,13,225,356,38.4,4.78
Q8BJZ0,Zinc finger MYND domain-containing protein 11 OS=Mus musculus GN=Zmynd11 PE=2 SV=1 - [Q8BJZ0_MOUSE],15.88%,12,8,8,8,548,64.2,9.03
B1AXY5,"Beta-1,4-galactosyltransferase 1 OS=Mus musculus GN=B4galt1 PE=4 SV=1 - [B1AXY5_MOUSE]",2.31%,3,1,1,2,346,37.7,8.98
Q7TS64,"Adrenergic receptor kinase, beta 1 OS=Mus musculus GN=Adrbk1 PE=1 SV=1 - [Q7TS64_MOUSE]",32.46%,8,19,19,35,647,75.1,7.17
Q924M1,Dual-specificity protein phosphatase 12 OS=Mus musculus GN=Dusp12 PE=2 SV=1 - [Q924M1_MOUSE],7.36%,3,1,1,1,163,17.1,6.52
E9PU93,Set1/Ash2 histone methyltransferase complex subunit ASH2 OS=Mus musculus GN=Ash2l PE=4 SV=1 - [E9PU93_MOUSE],46.63%,5,20,21,53,534,60.1,6.95
Q9CPS5,26S proteasome non-ATPase regulatory subunit 8 OS=Mus musculus GN=Psmd8 PE=2 SV=2 - [Q9CPS5_MOUSE],45.33%,2,16,16,82,289,32.7,6.38
